"filename", "language", "Properties", "Python", "Batch", "HTML", "Markdown", "C++", "PowerShell", "pip requirements", "Visual Basic", "XSL", "JavaScript", "JSON", "reStructuredText", "C", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_cmp.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 34, 151
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_cmp.pyi", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_compat.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 88
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_config.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 32
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_funcs.py", "Python", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 32, 484
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_make.py", "Python", 0, 1758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 972, 390, 3120
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_next_gen.py", "Python", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 25, 230
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_typing_compat.pyi", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_version_info.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 18, 87
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\_version_info.pyi", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\converters.py", "Python", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 27, 145
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\converters.pyi", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\exceptions.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 24, 96
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\exceptions.pyi", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\filters.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 13, 67
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\filters.pyi", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\setters.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 74
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\setters.pyi", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\validators.py", "Python", 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 106, 682
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attr\validators.pyi", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 89
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\__init__.py", "Python", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 66
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\__init__.pyi", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 68
